sensor1.id,sensor1.carId,sensor1.carLocation,sensor1.timeValue,sensor1.pm25,sensor1.pm10,sensor1.tags,sensor1.classification
552,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:10:39,3.9,9.7,"Não existência de fumo, vidros fechados, AC desligado",0
551,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:10:28,3.8,8.0,"Não existência de fumo, vidros fechados, AC desligado",0
550,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:10:18,3.8,7.7,"Não existência de fumo, vidros fechados, AC desligado",0
549,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:10:07,3.7,7.3,"Não existência de fumo, vidros fechados, AC desligado",0
548,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:09:56,3.7,8.4,"Não existência de fumo, vidros fechados, AC desligado",0
547,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:09:45,3.8,8.4,"Não existência de fumo, vidros fechados, AC desligado",0
546,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:09:35,3.7,7.8,"Não existência de fumo, vidros fechados, AC desligado",0
545,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:09:24,3.7,10.0,"Não existência de fumo, vidros fechados, AC desligado",0
544,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:09:13,3.7,10.5,"Não existência de fumo, vidros fechados, AC desligado",0
543,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:09:02,3.5,8.6,"Não existência de fumo, vidros fechados, AC desligado",0
542,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:08:46,3.7,16.1,"Não existência de fumo, vidros fechados, AC desligado",0
541,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:08:35,3.7,16.2,"Não existência de fumo, vidros fechados, AC desligado",0
540,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:08:24,3.5,7.2,"Não existência de fumo, vidros fechados, AC desligado",0
539,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:08:13,3.6,7.1,"Não existência de fumo, vidros fechados, AC desligado",0
538,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:08:02,3.8,7.5,"Não existência de fumo, vidros fechados, AC desligado",0
537,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:07:51,3.9,7.6,"Não existência de fumo, vidros fechados, AC desligado",0
536,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:07:41,3.8,9.1,"Não existência de fumo, vidros fechados, AC desligado",0
535,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:07:30,3.6,8.5,"Não existência de fumo, vidros fechados, AC desligado",0
534,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:07:19,3.3,8.4,"Não existência de fumo, vidros fechados, AC desligado",0
533,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:07:08,3.2,6.4,"Não existência de fumo, vidros fechados, AC desligado",0
532,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:06:57,8.0,11.2,"Não existência de fumo, vidros fechados, AC desligado",0
524,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:05:29,10.4,15.3,"Não existência de fumo, vidros fechados, AC desligado",0
523,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:05:18,10.5,14.2,"Não existência de fumo, vidros fechados, AC desligado",0
311,VP-35-44,41.5608 -8.3968,2020-11-21 13:21:33,6.8,10.4,"Não existência de fumo, vidros fechados, AC desligado",0
310,VP-35-44,41.5608 -8.3968,2020-11-21 13:21:22,6.8,10.4,"Não existência de fumo, vidros fechados, AC desligado",0
309,VP-35-44,41.5608 -8.3968,2020-11-21 13:21:11,6.8,10.4,"Não existência de fumo, vidros fechados, AC desligado",0
308,VP-35-44,41.5608 -8.3968,2020-11-21 13:21:01,6.8,10.4,"Não existência de fumo, vidros fechados, AC desligado",0
307,VP-35-44,41.5608 -8.3968,2020-11-21 13:20:50,6.8,11.6,"Não existência de fumo, vidros fechados, AC desligado",0
306,VP-35-44,41.5608 -8.3968,2020-11-21 13:20:39,6.8,11.6,"Não existência de fumo, vidros fechados, AC desligado",0
305,VP-35-44,41.5608 -8.3968,2020-11-21 13:20:27,6.8,11.6,"Não existência de fumo, vidros fechados, AC desligado",0
