,sensors.pm25,sensors.pm10,sensors.temperature,sensors.gas,sensors.humidity,sensors.pressure,sensors.classification
660,10.0,15.5,20.781953125,57551,50.607561683073065,996.1873544838644,0
661,10.0,15.5,20.7813671875,57777,50.12163889272586,996.3089086143428,0
662,10.0,15.5,20.781953125,58004,49.866855478058106,996.47032609519,0
663,10.0,15.5,20.7907421875,57852,49.88036409337281,996.6968349498616,0
664,10.0,15.5,20.79796875,57814,49.66396171613286,996.8914787438443,0
665,10.0,15.5,20.8008984375,58195,49.36055247396509,997.0549874258796,0
666,10.0,15.5,20.803046875,58157,49.31746206999985,997.1689134118983,0
667,10.0,15.5,20.805390625,58310,49.509824354263145,997.1951548547228,0
668,10.0,15.5,20.8075390625,58080,49.88865042772362,997.1468801460833,0
669,10.0,15.5,20.8071484375,57739,50.12483388058261,997.0099269724902,0
670,10.3,15.1,20.8059765625,57701,49.91952270407371,996.8182137443795,0
671,10.3,15.1,20.8008984375,57928,50.329458343842106,996.5925490025252,0
672,10.3,15.1,20.801484375,57216,50.73479334797946,996.3174213582107,0
673,10.3,15.1,20.7923046875,57327,50.57766973068156,996.0574994938232,0
674,10.3,15.1,20.785078125,57514,50.14698230556201,995.8059333901964,0
675,10.3,15.1,20.776484375,57327,50.07127789611743,995.583213044611,0
676,10.3,15.1,20.7708203125,57439,50.1078919561226,995.3635279505647,0
677,10.3,15.1,20.76203125,57364,49.926521095204365,995.147405687557,0
678,10.3,15.1,20.7544140625,57439,50.099640320830574,994.971147318153,0
679,10.3,15.1,20.746796875,57216,50.185789305111435,994.7448616412404,0
680,10.3,15.1,20.742109375,58157,49.89920940607073,994.5095305004367,0
681,11.3,16.6,20.735859375,58310,49.53848646170965,994.3217027461313,0
682,11.3,16.6,20.7329296875,58233,49.44515472275786,994.1323597150956,0
683,11.3,16.6,20.7298046875,58697,49.32088518840071,993.9099251669504,0
684,11.3,16.6,20.72765625,58736,49.456901778484756,993.7442807092027,0
685,11.3,16.6,20.7247265625,58348,49.890851792600444,993.4997425118712,0
686,11.3,16.6,20.7196484375,58233,50.045590476066245,993.2224033672557,0
687,11.3,16.6,20.7094921875,58042,50.06298682454357,992.8971752970383,0
688,11.3,16.6,20.69875,58004,50.14250643389485,992.5382376516546,0
689,11.3,16.6,20.6846875,57739,50.50190856990397,992.1808449969244,0
690,11.3,16.6,20.67140625,58310,50.344504322012995,991.8799307601836,0
691,11.3,16.4,20.6565625,58425,50.08131106994807,991.6265252128777,0
692,11.3,16.4,20.639375,58348,50.14759499701096,991.4383350521144,0
693,11.3,16.4,20.6208203125,58272,50.21373158119013,991.3324560959403,0
694,11.3,16.4,20.6059765625,58464,50.404885398444996,991.2429274435024,0
695,11.3,16.4,20.5903515625,58580,51.03939895896452,991.1038503765466,0
696,11.3,16.4,20.576875,58004,50.85028761441354,990.8992681228416,0
697,11.3,16.4,20.56046875,58464,50.23736751066879,990.6709929810906,0
698,11.3,16.4,20.5481640625,58658,50.25451216602158,990.3493350695067,0
699,11.3,16.4,20.5329296875,59050,50.1779632771727,990.0074432412172,0
700,11.3,16.4,20.524140625,59050,50.009003861366885,989.8725491377593,0
701,11.3,16.4,20.513984375,59129,50.00775061947122,989.8682264730056,0
702,11.5,17.9,20.5079296875,59168,49.74619042673033,989.9015617508244,0
703,11.5,17.9,20.500703125,58697,50.10556821257654,989.9605935650158,0
704,11.5,17.9,20.496015625,58118,50.38500364879496,990.0288958696063,0
705,11.5,17.9,20.489375,58080,49.923948769539024,990.011278177229,0
706,11.5,17.9,20.48390625,59567,49.867382257352716,989.8955451231004,0
707,11.5,17.9,20.477265625,59367,49.922456974949334,989.7055050354547,0
708,11.5,17.9,20.4731640625,59607,49.64266854161206,989.4454259620276,0
709,11.5,17.9,20.4665234375,59647,49.530264726083324,989.2571204399153,0
